method,formulation,mean_q20_aulc,mean_q30_aulc,mean_balanced_accuracy_aulc,run_count,population,comparison_status
binary_g3_common_margin,binary,0.1785521193771626,0.12955392156862744,0.9206217337681342,20,secondary_g3_common_404,matched_complete_case_secondary
binary_g3_common_random,binary,0.2645301686851211,0.19275919117647056,0.8600383431866641,20,secondary_g3_common_404,matched_complete_case_secondary
g3_random,g3,0.2802808715397923,0.2209099264705882,0.9066705623904922,20,secondary_g3_common_404,matched_complete_case_secondary
g3_straddle,g3,0.25448069852941174,0.20297120098039217,0.921075331421578,20,secondary_g3_common_404,matched_complete_case_secondary
max_depth_g3_common_random,max_depth,0.2820501730103806,0.2141544117647059,0.9030859738739458,20,secondary_g3_common_404,matched_complete_case_secondary
max_depth_g3_common_straddle,max_depth,0.23348426686851206,0.1673719362745098,0.9319392723167965,20,secondary_g3_common_404,matched_complete_case_secondary
