population,candidate_id,unit,n,positive_n,negative_n,direction,raw_roc_auc,direction_adjusted_roc_auc,direction_adjusted_average_precision,negative_extreme_toward_positive,positive_extreme_toward_negative,class_gap_in_positive_direction,complete_rank_separation
all-combined,max_depth,um,405,73,332,higher,0.9999587390658524,0.9999587390658524,0.9998148833765275,111.5838,111.1982,-0.3855999999999966,False
all-combined,R3,dimensionless,404,73,331,higher,0.9944543310019451,0.9944543310019451,0.9832856889644069,0.6922254374489708,0.4322778508524462,-0.2599475865965246,False
all-combined,G3,um,404,73,331,higher,0.9941232462856433,0.9941232462856433,0.9836992153039033,98.565725,78.00963999999999,-20.55608500000001,False
all-combined,T0_depth,um,405,73,332,higher,0.9730153490675029,0.9730153490675029,0.9093122633781147,94.62022,70.55308500000001,-24.067134999999993,False
all-combined,R0,dimensionless,405,73,332,higher,0.9679402541673543,0.9679402541673543,0.926915876088072,0.6207435669104809,0.34781878942259964,-0.2729247774878813,False
all-combined,T0_total_height,um,405,73,332,higher,0.940254167354349,0.940254167354349,0.8375175766257105,125.35813,91.04755,-34.31058,False
all-combined,T0_kinetic_energy,nJ,405,73,332,higher,0.9224294438026076,0.9224294438026076,0.78987211423289,5.377543999999999,1.473584,-3.9039599999999997,False
all-combined,T0_width,um,405,73,332,higher,0.5481515101501897,0.5481515101501897,0.22188237342679462,281.37294999999995,118.71622,-162.65672999999992,False
all-old,max_depth,um,241,10,231,higher,1.0,1.0,0.9999999999999999,90.58417,123.75569999999999,33.17152999999999,True
all-old,G3,um,240,10,230,higher,0.9752173913043478,0.9752173913043478,0.7962552453931764,90.208,78.00963999999999,-12.198360000000008,False
all-old,R3,dimensionless,240,10,230,higher,0.9734782608695652,0.9734782608695652,0.8061751152073733,0.5341994037398861,0.4322778508524462,-0.10192155288743987,False
all-old,T0_depth,um,241,10,231,higher,0.9658008658008659,0.9658008658008659,0.6546938775510204,86.77511,70.55308500000001,-16.222024999999988,False
all-old,R0,dimensionless,241,10,231,higher,0.9471861471861471,0.9471861471861471,0.698171934840543,0.49674772985658455,0.34781878942259964,-0.1489289404339849,False
all-old,T0_total_height,um,241,10,231,higher,0.9354978354978356,0.9354978354978356,0.4622180834593177,119.21504999999999,92.87828,-26.336769999999987,False
all-old,T0_kinetic_energy,nJ,241,10,231,higher,0.7658008658008658,0.7658008658008658,0.27831422067619477,3.261276,1.473584,-1.787692,False
all-old,T0_width,um,241,10,231,higher,0.6627705627705628,0.6627705627705628,0.06393162479207876,256.76705,146.943905,-109.82314499999998,False
new-data,G3,um,164,63,101,higher,1.0,1.0,0.9999999999999998,98.565725,103.3518,4.786074999999997,True
new-data,max_depth,um,164,63,101,higher,0.9998428414269999,0.9998428414269999,0.999751984126984,111.5838,111.1982,-0.3855999999999966,False
new-data,R3,dimensionless,164,63,101,higher,0.9985855728429985,0.9985855728429985,0.9977350794651101,0.6922254374489708,0.6101000122399665,-0.08212542520900434,False
new-data,R0,dimensionless,164,63,101,higher,0.9608675153229609,0.9608675153229609,0.9576401388305318,0.6207435669104809,0.34907908352465644,-0.2716644833858245,False
new-data,T0_depth,um,164,63,101,higher,0.9577243438629577,0.9577243438629577,0.9434314745521312,94.62022,74.3066,-20.31362,False
new-data,T0_total_height,um,164,63,101,higher,0.9066478076379066,0.9066478076379066,0.8938487876930341,125.35813,91.04755,-34.31058,False
new-data,T0_kinetic_energy,nJ,164,63,101,higher,0.8995756718528995,0.8995756718528995,0.8517749076735998,5.377543999999999,2.2334769999999997,-3.1440669999999997,False
new-data,T0_width,um,164,63,101,lower,0.4576457645764576,0.5423542354235423,0.41373758518763215,-111.529485,-300.26985,-188.74036500000003,False
old-data-local,max_depth,um,178,8,170,higher,1.0,1.0,1.0,90.40686,123.75569999999999,33.348839999999996,True
old-data-local,G3,um,177,8,169,higher,0.9733727810650887,0.9733727810650887,0.762719298245614,90.208,78.00963999999999,-12.198360000000008,False
old-data-local,T0_depth,um,178,8,170,higher,0.9669117647058824,0.9669117647058824,0.6816628264208909,86.262795,70.55308500000001,-15.709709999999987,False
old-data-local,R3,dimensionless,177,8,169,higher,0.9630177514792899,0.9630177514792899,0.7567532467532468,0.5209045739596359,0.4322778508524462,-0.08862672310718966,False
old-data-local,R0,dimensionless,178,8,170,higher,0.9286764705882353,0.9286764705882353,0.627703373015873,0.49674772985658455,0.34781878942259964,-0.1489289404339849,False
old-data-local,T0_total_height,um,178,8,170,higher,0.9279411764705882,0.9279411764705882,0.4766544493518178,119.21504999999999,92.87828,-26.336769999999987,False
old-data-local,T0_kinetic_energy,nJ,178,8,170,higher,0.7338235294117645,0.7338235294117645,0.2801876209128361,3.261276,1.473584,-1.787692,False
old-data-local,T0_width,um,178,8,170,higher,0.7088235294117646,0.7088235294117646,0.08515978792088999,256.76705,146.943905,-109.82314499999998,False
old-data-remote-clean,max_depth,um,63,2,61,higher,1.0,1.0,1.0,90.58417,155.835,65.25083000000001,True
old-data-remote-clean,G3,um,63,2,61,higher,1.0,1.0,1.0,86.80308,149.85005,63.046970000000016,True
old-data-remote-clean,R3,dimensionless,63,2,61,higher,1.0,1.0,1.0,0.5341994037398861,0.9907914966340123,0.4565920928941263,True
old-data-remote-clean,R0,dimensionless,63,2,61,higher,1.0,1.0,1.0,0.49287019996077125,0.4944639112670599,0.0015937113062886588,True
old-data-remote-clean,T0_depth,um,63,2,61,higher,0.9836065573770492,0.9836065573770492,0.75,86.77511,82.64709,-4.128019999999992,False
old-data-remote-clean,T0_total_height,um,63,2,61,higher,0.9672131147540983,0.9672131147540983,0.45,115.66905000000001,108.60903,-7.060020000000009,False
old-data-remote-clean,T0_kinetic_energy,nJ,63,2,61,higher,0.959016393442623,0.959016393442623,0.41666666666666663,3.0354870000000003,2.8363614999999998,-0.1991255000000005,False
old-data-remote-clean,T0_width,um,63,2,61,higher,0.5327868852459017,0.5327868852459017,0.051587301587301584,235.1711,151.72511,-83.44599,False
