run_id,repeat,fold,model,budget,subset,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive
w85__r01_f01,1,1,physics_ridge_residual_gp,40,full81,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2.0,0.0
w85__r01_f01,1,1,physics_ridge_residual_gp,40,B1_q30,0.92,0.875,0.75,1.0,2.0,0.0
w85__r01_f01,1,1,physics_ridge_residual_gp,40,B1_q20,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,2.0,0.0
w85__r01_f01,1,1,physics_ridge_residual_gp,80,full81,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2.0,0.0
w85__r01_f01,1,1,physics_ridge_residual_gp,80,B1_q30,0.92,0.875,0.75,1.0,2.0,0.0
w85__r01_f01,1,1,physics_ridge_residual_gp,80,B1_q20,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,2.0,0.0
w85__r01_f02,1,2,physics_ridge_residual_gp,40,full81,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,1.0,3.0
w85__r01_f02,1,2,physics_ridge_residual_gp,40,B1_q30,0.84,0.8377192982456141,0.8333333333333334,0.8421052631578947,1.0,3.0
w85__r01_f02,1,2,physics_ridge_residual_gp,40,B1_q20,0.7647058823529411,0.775,0.8,0.75,1.0,3.0
w85__r01_f02,1,2,physics_ridge_residual_gp,80,full81,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,1.0,3.0
w85__r01_f02,1,2,physics_ridge_residual_gp,80,B1_q30,0.84,0.8377192982456141,0.8333333333333334,0.8421052631578947,1.0,3.0
w85__r01_f02,1,2,physics_ridge_residual_gp,80,B1_q20,0.7647058823529411,0.775,0.8,0.75,1.0,3.0
w85__r01_f03,1,3,physics_ridge_residual_gp,40,full81,0.9876543209876543,0.9642857142857143,0.9285714285714286,1.0,1.0,0.0
w85__r01_f03,1,3,physics_ridge_residual_gp,40,B1_q30,0.96,0.9285714285714286,0.8571428571428571,1.0,1.0,0.0
w85__r01_f03,1,3,physics_ridge_residual_gp,40,B1_q20,0.9411764705882353,0.9285714285714286,0.8571428571428571,1.0,1.0,0.0
w85__r01_f03,1,3,physics_ridge_residual_gp,80,full81,0.9876543209876543,0.9642857142857143,0.9285714285714286,1.0,1.0,0.0
