prefix_fraction,transitions_used,median_observed_window_us,pearson_r_with_full_trace,spearman_r_with_full_trace,fraction_already_equal_to_full,median_shortfall_um,median_ratio_to_full
0.02,4,27.365684,0.9797007757654178,0.9880572786016912,0.9114285714285715,0.0,1.0
0.05,10,68.41421,0.9937038250432336,0.9932807847994095,0.9542857142857143,0.0,1.0
0.1,20,136.82842,0.9975204918837017,0.9992023258498904,0.9971428571428571,0.0,1.0
0.2,40,273.65684,0.9998938667491577,0.9997926047209714,0.9971428571428571,0.0,1.0
0.4,80,547.31368,0.9999999999999998,1.0,1.0,0.0,1.0
1.0,200,1368.2842,0.9999999999999998,1.0,1.0,0.0,1.0
