model,subset,role,features,metric,mean,sd_across_repeats,repeat_blocks
gpc_4d,full,baseline,P + VX + LS + ST,roc_auc,0.9912193877551021,0.0019517276109298125,20
gpc_4d,full,baseline,P + VX + LS + ST,pr_auc,0.9713558882560884,0.004396388096969287,20
gpc_4d,full,baseline,P + VX + LS + ST,accuracy,0.9729999999999999,0.005969849055408424,20
gpc_4d,full,baseline,P + VX + LS + ST,balanced_accuracy,0.953125,0.011066804151847033,20
gpc_4d,full,baseline,P + VX + LS + ST,keyhole_recall,0.9199999999999999,0.02093414563042992,20
gpc_4d,full,baseline,P + VX + LS + ST,conduction_recall,0.9862499999999998,0.004528671045606297,20
gpc_4d,full,baseline,P + VX + LS + ST,false_negative,5.6,1.465390194130093,20
gpc_4d,full,baseline,P + VX + LS + ST,false_positive,3.85,1.2680278927697548,20
gpc_4d,full,baseline,P + VX + LS + ST,brier_score,0.025195895039826978,0.0017553877215465215,20
gpc_4d,q20,baseline,P + VX + LS + ST,roc_auc,0.9244208695234087,0.010634693923471819,20
gpc_4d,q20,baseline,P + VX + LS + ST,pr_auc,0.8768877539689344,0.018830764966704574,20
gpc_4d,q20,baseline,P + VX + LS + ST,accuracy,0.8836368764000342,0.025073678706299864,20
gpc_4d,q20,baseline,P + VX + LS + ST,balanced_accuracy,0.8739049712137683,0.02714396861861649,20
gpc_4d,q20,baseline,P + VX + LS + ST,keyhole_recall,0.8288040613909636,0.041334196539549235,20
gpc_4d,q20,baseline,P + VX + LS + ST,conduction_recall,0.9190058810365735,0.02460469618381097,20
gpc_4d,q20,baseline,P + VX + LS + ST,false_negative,5.15,1.2258187382102497,20
gpc_4d,q20,baseline,P + VX + LS + ST,false_positive,3.75,1.118033988749895,20
gpc_4d,q20,baseline,P + VX + LS + ST,brier_score,0.10087624734584873,0.0069966781473993645,20
gpc_4d,q30,baseline,P + VX + LS + ST,roc_auc,0.95385112985122,0.007084291989920838,20
gpc_4d,q30,baseline,P + VX + LS + ST,pr_auc,0.908482595577726,0.012402822727004168,20
gpc_4d,q30,baseline,P + VX + LS + ST,accuracy,0.916145706179298,0.01746464343476103,20
gpc_4d,q30,baseline,P + VX + LS + ST,balanced_accuracy,0.9003298435352327,0.0216956071638496,20
gpc_4d,q30,baseline,P + VX + LS + ST,keyhole_recall,0.8525490571543205,0.0377223149125149,20
gpc_4d,q30,baseline,P + VX + LS + ST,conduction_recall,0.9481106299161455,0.016646078465784697,20
gpc_4d,q30,baseline,P + VX + LS + ST,false_negative,5.5,1.3178930553209385,20
gpc_4d,q30,baseline,P + VX + LS + ST,false_positive,3.85,1.2680278927697548,20
gpc_4d,q30,baseline,P + VX + LS + ST,brier_score,0.07502758887380992,0.004909337680044985,20
gpc_4d_plus_early_p02,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,roc_auc,0.990625,0.0025010067790192585,20
gpc_4d_plus_early_p02,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,pr_auc,0.9707601911557822,0.005138072556425019,20
gpc_4d_plus_early_p02,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,accuracy,0.9732857142857142,0.005882852067027931,20
gpc_4d_plus_early_p02,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,balanced_accuracy,0.9551785714285712,0.01068134032550701,20
gpc_4d_plus_early_p02,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,keyhole_recall,0.925,0.020136483820815166,20
gpc_4d_plus_early_p02,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,conduction_recall,0.9853571428571429,0.004620390988798083,20
gpc_4d_plus_early_p02,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,false_negative,5.25,1.4095538674570611,20
gpc_4d_plus_early_p02,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,false_positive,4.1,1.2937094768634556,20
gpc_4d_plus_early_p02,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,brier_score,0.026751043758718934,0.0022472353240776907,20
gpc_4d_plus_early_p02,q20,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,roc_auc,0.9283203891799238,0.011212322182662693,20
gpc_4d_plus_early_p02,q20,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,pr_auc,0.8853634101986483,0.024168743341208884,20
gpc_4d_plus_early_p02,q20,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,accuracy,0.8869704560494036,0.025308981263089777,20
gpc_4d_plus_early_p02,q20,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,balanced_accuracy,0.8795641190206425,0.027663272592683738,20
gpc_4d_plus_early_p02,q20,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,keyhole_recall,0.8454463292547276,0.044723812754837215,20
gpc_4d_plus_early_p02,q20,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,conduction_recall,0.9136819087865573,0.02543381501888904,20
gpc_4d_plus_early_p02,q20,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,false_negative,4.65,1.348488432516786,20
gpc_4d_plus_early_p02,q20,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,false_positive,4.0,1.1697953037312037,20
gpc_4d_plus_early_p02,q20,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,brier_score,0.10153802003104503,0.007430063700840686,20
gpc_4d_plus_early_p02,q30,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,roc_auc,0.9556612600760042,0.007322528672210571,20
gpc_4d_plus_early_p02,q30,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,pr_auc,0.91329389515071,0.013486843913738398,20
gpc_4d_plus_early_p02,q30,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,accuracy,0.9170025068369837,0.018044504336950252,20
gpc_4d_plus_early_p02,q30,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,balanced_accuracy,0.9033834896748558,0.021947780541681873,20
gpc_4d_plus_early_p02,q30,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,keyhole_recall,0.8620817680028207,0.03785989608324294,20
gpc_4d_plus_early_p02,q30,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,conduction_recall,0.9446852113468912,0.01710528889984466,20
gpc_4d_plus_early_p02,q30,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,false_negative,5.15,1.3484884325167863,20
gpc_4d_plus_early_p02,q30,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,false_positive,4.1,1.2937094768634556,20
gpc_4d_plus_early_p02,q30,early_prefix,P + VX + LS + ST + max_positive_delta_W_p02,brier_score,0.07621321175269831,0.005580357609120429,20
gpc_4d_plus_early_p05,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p05,roc_auc,0.9912678571428574,0.0022218494440675463,20
gpc_4d_plus_early_p05,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p05,pr_auc,0.9725354120266985,0.00465305017439416,20
gpc_4d_plus_early_p05,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p05,accuracy,0.9737142857142859,0.006462317442214736,20
gpc_4d_plus_early_p05,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p05,balanced_accuracy,0.9567857142857144,0.01086362094034737,20
gpc_4d_plus_early_p05,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p05,keyhole_recall,0.9285714285714286,0.019110172973141118,20
gpc_4d_plus_early_p05,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p05,conduction_recall,0.9850000000000001,0.0045765948251228,20
gpc_4d_plus_early_p05,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p05,false_negative,5.0,1.3377121081198773,20
gpc_4d_plus_early_p05,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p05,false_positive,4.2,1.2814465510343749,20
gpc_4d_plus_early_p05,full,early_prefix,P + VX + LS + ST + max_positive_delta_W_p05,brier_score,0.026127370443823066,0.002198481468675136,20
gpc_4d_plus_early_p05,q20,early_prefix,P + VX + LS + ST + max_positive_delta_W_p05,roc_auc,0.9325344889481018,0.011762699023845864,20
