subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family,verdict,verdict_after_holm,metric_family
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,accuracy,False,0.005298465166886213,-0.0019127619949988392,0.01256140774232878,0.1407929603519824,20,0.1528923553822309,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,balanced_accuracy,False,0.008523000778621465,3.54464721988583e-05,0.0173976943693611,0.07644617769111545,20,0.1528923553822309,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,keyhole_recall,False,0.023435795063297838,0.00783731469158853,0.0398498579771174,0.014199290035498226,20,0.0567971601419929,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,brier_score,True,-0.001965480216156522,-0.0035946171503121477,-0.0004015278031353081,0.02944852757362132,20,0.08834558272086396,IMPROVES,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,pr_auc,False,0.01533888387009325,0.010119991972245399,0.020603501575982095,9.99950002499875e-05,20,0.000599970001499925,IMPROVES,IMPROVES,ranking_or_probability
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,roc_auc,False,0.008113619424693002,0.0046833079431065575,0.011635909944362808,0.000199990000499975,20,0.000999950002499875,IMPROVES,IMPROVES,ranking_or_probability
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,accuracy,False,0.0017660378881658389,-0.0031654529342747375,0.0067213699356520225,0.567621618919054,20,0.576271186440678,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,balanced_accuracy,False,0.005146121906666223,-0.0015162069786011127,0.011861326700050088,0.1455427228638568,20,0.4366281685915704,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,keyhole_recall,False,0.015015166988851187,0.0028846153846153744,0.027182066935356373,0.02199890005499725,20,0.087995600219989,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,brier_score,True,-0.0006656615394546782,-0.0018154336240242452,0.0005159919725417156,0.288135593220339,20,0.576271186440678,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,pr_auc,False,0.010264085734834455,0.0066627736540721995,0.013991740622937602,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,roc_auc,False,0.004442999686781235,0.0025136773083465373,0.006374078665731094,0.0005499725013749313,20,0.0027498625068746564,IMPROVES,IMPROVES,ranking_or_probability
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,accuracy,False,0.0004285714285714226,-0.0008571428571428619,0.001574999999999955,0.6760161991900405,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,balanced_accuracy,False,0.0016071428571428682,-0.001428571428571418,0.004464285714285715,0.33798310084495775,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,keyhole_recall,False,0.0035714285714285865,-0.002142857142857141,0.009285714285714309,0.3708814559272036,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,brier_score,True,-0.0006236733148958741,-0.0009130346394084479,-0.0002780924563176498,0.0020998950052497373,20,0.00839958002099895,IMPROVES,IMPROVES,ranking_or_probability
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,pr_auc,False,0.0017752208709166273,0.0012673292162213821,0.0023591517380499505,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
full,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,roc_auc,False,0.0006428571428571672,0.00038775510204084316,0.0009311862244898398,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,accuracy,False,0.0019648855175170956,-0.00462310241915504,0.008569938833096721,0.5919204039798011,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,balanced_accuracy,False,0.0028638529717476104,-0.0050592447571816855,0.011230726706539199,0.5078746062696865,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,keyhole_recall,False,0.006793527199533872,-0.007905046612638383,0.02182834101382487,0.407929603519824,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,brier_score,True,-0.0026272529013528405,-0.0032960340935056943,-0.001920807589407164,0.00014999250037498125,20,0.0007499625018749063,IMPROVES,IMPROVES,ranking_or_probability
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,pr_auc,False,0.006863227640379399,0.0034706907165218404,0.01083262891560315,0.00034998250087495624,20,0.001399930003499825,IMPROVES,IMPROVES,ranking_or_probability
q20,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,roc_auc,False,0.004214099768178064,0.002833356252950801,0.005624411282099308,4.999750012499375e-05,20,0.0002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
q30,gpc_4d_plus_early_p05 - gpc_4d_plus_early_p02,equivalence,accuracy,False,0.000909237230480231,-0.00354722915033359,0.005341721798441939,0.624068796560172,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
