experiment_name,population_row_index,has_keyhole,full_trace_duration_ms,max_positive_delta_W_p02,observed_ms_p02,transitions_used_p02,max_positive_delta_W_p05,observed_ms_p05,transitions_used_p05,max_positive_delta_W_p10,observed_ms_p10,transitions_used_p10,max_positive_delta_W_p20,observed_ms_p20,transitions_used_p20,max_positive_delta_W_p40,observed_ms_p40,transitions_used_p40,max_positive_delta_W_p100,observed_ms_p100,transitions_used_p100,P,VX,LS,ST,log_h
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0,1.4430115,19.01423589697795,0.02886023,4,19.01423589697795,0.072150575,10,19.01423589697795,0.14430115,20,19.01423589697795,0.2886023,40,19.01423589697795,0.5772046000000001,80,19.01423589697795,1.4430115,200,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,19.63158094088341
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1,0,0.9962036,30.103145314285698,0.019924072,4,30.103145314285698,0.04981018,10,30.103145314285698,0.09962036,20,30.103145314285698,0.19924072,40,30.103145314285698,0.39848144,80,30.103145314285698,0.9962036,200,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,18.893203115557135
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,2,0,1.7449926,22.526125760439637,0.034899852,4,22.526125760439637,0.08724963,10,22.526125760439637,0.17449926,20,22.526125760439637,0.34899852,40,22.526125760439637,0.6979970400000001,80,22.526125760439637,1.7449926,200,111.098510779,0.492021331775,4.80108469254e-05,345.911753718,19.981159287767515
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,3,0,1.4159652,28.288923042857093,0.028319304,4,28.288923042857093,0.07079826,10,28.288923042857093,0.14159652,20,28.288923042857093,0.28319304,40,28.288923042857093,0.56638608,80,28.288923042857093,1.4159652,200,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,19.04999989622992
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,4,0,1.4583792,31.88030155359118,0.029167584,4,31.88030155359118,0.07291896,10,31.88030155359118,0.14583792,20,31.88030155359118,0.29167584,40,31.88030155359118,0.58335168,80,31.88030155359118,1.4583792,200,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,19.613380183286644
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,5,0,1.5381278,21.032738517582303,0.030762556,4,21.032738517582303,0.07690639,10,21.032738517582303,0.15381278,20,21.032738517582303,0.30762556,40,21.032738517582303,0.61525112,80,21.032738517582303,1.5381278,200,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,19.801624025695173
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,6,0,1.2577026999999998,30.842916165934085,0.025154054,4,30.842916165934085,0.062885135,10,30.842916165934085,0.12577027,20,30.842916165934085,0.25154054,40,30.842916165934085,0.50308108,80,30.842916165934085,1.2577026999999998,200,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,19.6163894445236
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,7,0,1.065699,31.905579010989015,0.02131398,4,31.905579010989015,0.05328495,10,31.905579010989015,0.1065699,20,31.905579010989015,0.2131398,40,31.905579010989015,0.4262796,80,31.905579010989015,1.065699,200,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,19.27319543192164
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,8,0,1.5052062,26.96564822692315,0.030104124,4,26.96564822692315,0.07526031,10,26.96564822692315,0.15052062,20,26.96564822692315,0.30104124,40,26.96564822692315,0.60208248,80,26.96564822692315,1.5052062,200,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,19.1313440555154
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,9,0,1.4181495,30.254920396978022,0.02836299,4,30.254920396978022,0.070907475,10,30.254920396978022,0.14181495,20,30.254920396978022,0.2836299,40,30.254920396978022,0.5672598,80,30.254920396978022,1.4181495,200,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,19.5847504215337
