prefix_fraction,subset,learned_threshold_median,fraction_of_folds_choosing_below,balanced_accuracy_mean,balanced_accuracy_sd_across_repeats,keyhole_recall_mean,total_false_negative,total_false_positive
0.02,full,32.40799515411522,1.0,0.623911115577729,0.008264462095403328,0.9218040293040293,110,3775
0.02,q20,32.40799515411522,1.0,0.5642698273948275,0.024712128279794816,0.8661428571428573,79,683
0.02,q30,32.40799515411522,1.0,0.571401120164665,0.01898156299691861,0.8795342712842713,89,1089
0.05,full,32.40799515411522,1.0,0.623911115577729,0.008264462095403328,0.9218040293040293,110,3775
0.05,q20,32.40799515411522,1.0,0.5642698273948275,0.024712128279794816,0.8661428571428573,79,683
0.05,q30,32.40799515411522,1.0,0.571401120164665,0.01898156299691861,0.8795342712842713,89,1089
0.1,full,32.40799515411522,1.0,0.623911115577729,0.008264462095403328,0.9218040293040293,110,3775
0.1,q20,32.40799515411522,1.0,0.5642698273948275,0.024712128279794816,0.8661428571428573,79,683
0.1,q30,32.40799515411522,1.0,0.571401120164665,0.01898156299691861,0.8795342712842713,89,1089
0.2,full,32.40799515411522,1.0,0.623911115577729,0.008264462095403328,0.9218040293040293,110,3775
0.2,q20,32.40799515411522,1.0,0.5642698273948275,0.024712128279794816,0.8661428571428573,79,683
0.2,q30,32.40799515411522,1.0,0.571401120164665,0.01898156299691861,0.8795342712842713,89,1089
0.4,full,32.40799515411522,1.0,0.623911115577729,0.008264462095403328,0.9218040293040293,110,3775
0.4,q20,32.40799515411522,1.0,0.5642698273948275,0.024712128279794816,0.8661428571428573,79,683
0.4,q30,32.40799515411522,1.0,0.571401120164665,0.01898156299691861,0.8795342712842713,89,1089
1.0,full,32.40799515411522,1.0,0.623911115577729,0.008264462095403328,0.9218040293040293,110,3775
1.0,q20,32.40799515411522,1.0,0.5642698273948275,0.024712128279794816,0.8661428571428573,79,683
1.0,q30,32.40799515411522,1.0,0.571401120164665,0.01898156299691861,0.8795342712842713,89,1089
