run_id,repeat,fold,prefix_fraction,subset,learned_threshold,learned_direction,direction_is_below,balanced_accuracy,keyhole_recall,true_negative,false_positive,false_negative,true_positive
w85__r01_f01,1,1,0.02,full,32.77712869230773,below,1,0.6484848484848484,0.9333333333333333,20,35,1,14
w85__r01_f01,1,1,0.02,q30,32.77712869230773,below,1,0.5625,0.875,3,9,1,7
w85__r01_f01,1,1,0.02,q20,32.77712869230773,below,1,0.5714285714285714,0.8571428571428571,2,5,1,6
w85__r01_f01,1,1,0.05,full,32.77712869230773,below,1,0.6484848484848484,0.9333333333333333,20,35,1,14
w85__r01_f01,1,1,0.05,q30,32.77712869230773,below,1,0.5625,0.875,3,9,1,7
w85__r01_f01,1,1,0.05,q20,32.77712869230773,below,1,0.5714285714285714,0.8571428571428571,2,5,1,6
w85__r01_f01,1,1,0.1,full,32.77712869230773,below,1,0.6484848484848484,0.9333333333333333,20,35,1,14
w85__r01_f01,1,1,0.1,q30,32.77712869230773,below,1,0.5625,0.875,3,9,1,7
w85__r01_f01,1,1,0.1,q20,32.77712869230773,below,1,0.5714285714285714,0.8571428571428571,2,5,1,6
w85__r01_f01,1,1,0.2,full,32.77712869230773,below,1,0.6484848484848484,0.9333333333333333,20,35,1,14
w85__r01_f01,1,1,0.2,q30,32.77712869230773,below,1,0.5625,0.875,3,9,1,7
w85__r01_f01,1,1,0.2,q20,32.77712869230773,below,1,0.5714285714285714,0.8571428571428571,2,5,1,6
w85__r01_f01,1,1,0.4,full,32.77712869230773,below,1,0.6484848484848484,0.9333333333333333,20,35,1,14
w85__r01_f01,1,1,0.4,q30,32.77712869230773,below,1,0.5625,0.875,3,9,1,7
w85__r01_f01,1,1,0.4,q20,32.77712869230773,below,1,0.5714285714285714,0.8571428571428571,2,5,1,6
w85__r01_f01,1,1,1.0,full,32.77712869230773,below,1,0.6484848484848484,0.9333333333333333,20,35,1,14
w85__r01_f01,1,1,1.0,q30,32.77712869230773,below,1,0.5625,0.875,3,9,1,7
