subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family
full,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,accuracy,False,0.0007142857142857118,-0.001142857142857151,0.002571428571428569,0.5592220388980551,20,1.0
full,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,balanced_accuracy,False,0.0039285714285714314,5.1347814888914915e-18,0.008124999999999983,0.08424578771061447,20,0.32758362081895903
full,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,keyhole_recall,False,0.009285714285714303,0.00142857142857144,0.01714285714285717,0.05639718014099295,20,0.28198590070496476
full,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,conduction_recall,False,-0.00142857142857144,-0.0025000000000000187,-0.00035714285714286695,0.03544822758862057,20,
full,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,false_negative,True,-0.65,-1.2,-0.1,0.05904704764761762,20,
full,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,false_positive,True,0.4,0.1,0.7,0.03559822008899555,20,
full,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,brier_score,True,0.0009231051220350963,0.0004995597605970805,0.001353219057031019,0.0010499475026248687,20,0.006299685015749212
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,roc_auc,False,-7.653061224510704e-06,-0.0006403061224489974,0.0005663265306122323,0.9874506274686266,20,1.0
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,pr_auc,False,0.0010805071496566786,-8.902952427096932e-05,0.002225466621396615,0.08604569771511425,20,0.344182790860457
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,accuracy,False,0.0007142857142857118,-0.00114285714285714,0.0025714285714285635,0.5608719564021799,20,1.0
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,balanced_accuracy,False,0.0039285714285714314,-8.928571428571411e-05,0.007946428571428582,0.08844557772111394,20,0.344182790860457
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,keyhole_recall,False,0.009285714285714303,0.00142857142857144,0.017142857142857165,0.05834708264586771,20,0.29173541322933855
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,conduction_recall,False,-0.00142857142857144,-0.0025000000000000135,-0.0005357142857142838,0.03559822008899555,20,
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,false_negative,True,-0.65,-1.2,-0.1,0.058697065146742666,20,
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,false_positive,True,0.4,0.1,0.7,0.035548222588870554,20,
full,gpc_4d_plus_early_p100 - gpc_4d,full_trace_reference,brier_score,True,0.0009231051220350963,0.0004654110655185565,0.0013538601045817009,0.0010999450027498626,20,0.0065996700164991755
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,roc_auc,False,-5.6122448979595285e-05,-0.00011989795918366797,2.5510204081759246e-06,0.1159942002899855,20,0.6959652017399129
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,pr_auc,False,-9.901662095354035e-05,-0.0002962396914691538,7.208604298387391e-05,0.3334333283335833,20,1.0
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,accuracy,False,0.0,-0.0007142857142857229,0.0007142857142857229,1.0,20,1.0
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,balanced_accuracy,False,0.0002678571428571419,-0.0008928571428571507,0.0015178571428571541,0.9051047447627618,20,1.0
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,keyhole_recall,False,0.0007142857142857229,-0.0014285714285714236,0.002857142857142875,1.0,20,1.0
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,conduction_recall,False,-0.00017857142857143348,-0.0007187500000000231,0.0003571428571428559,1.0,20,
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,false_negative,True,-0.05,-0.2,0.1,1.0,20,
full,gpc_4d_plus_early_p100 - gpc_4d_plus_early_p05,equivalence,false_positive,True,0.05,-0.1,0.2,1.0,20,
