benchmark,display_name,surrogate_variant,acquisition_rule,method,final_budget,seed_count,mean_final_global_error,std_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,mean_final_uncertainty_region_fraction,std_final_uncertainty_region_fraction,mean_final_uncertainty_region_fraction_q20,std_final_uncertainty_region_fraction_q20,mean_final_uncertainty_region_fraction_q30,std_final_uncertainty_region_fraction_q30,mean_final_integrated_bernoulli_uncertainty,std_final_integrated_bernoulli_uncertainty,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,mean_acquisition_time_seconds,rank_global_error,rank_near_boundary_error_q20,rank_near_boundary_error_q30,rank_median_query_distance,rank_integrated_bernoulli_uncertainty
branin,Thresholded Branin,gpc_fixed_iso,classifier_entropy,classifier_entropy,10,1,0.260000,0.000000,0.433333,0.000000,0.400000,0.000000,0.316667,0.000000,0.763333,0.000000,0.891667,0.000000,0.827778,0.000000,0.243856,0.000000,9.750429,8.449542,4.615060,13.584912,0.250000,0.500000,0.750000,0.002440,10,9,8,1,9
branin,Thresholded Branin,gpc_fixed_iso,classifier_margin,classifier_margin,10,1,0.260000,0.000000,0.433333,0.000000,0.400000,0.000000,0.316667,0.000000,0.763333,0.000000,0.891667,0.000000,0.827778,0.000000,0.243856,0.000000,9.750429,8.449542,4.615060,13.584912,0.250000,0.500000,0.750000,0.002460,11,10,9,2,10
branin,Thresholded Branin,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,10,1,0.226667,0.000000,0.533333,0.000000,0.458333,0.000000,0.438889,0.000000,0.841667,0.000000,0.941667,0.000000,0.905556,0.000000,0.244892,0.000000,86.167198,65.823602,17.511359,134.479441,0.250000,0.250000,0.250000,0.003159,9,12,12,7,12
branin,Thresholded Branin,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,10,1,0.193333,0.000000,0.433333,0.000000,0.441667,0.000000,0.388889,0.000000,0.735000,0.000000,0.933333,0.000000,0.883333,0.000000,0.243928,0.000000,42.873546,23.890555,20.987708,45.776394,0.000000,0.000000,0.000000,0.231998,8,11,11,4,11
branin,Thresholded Branin,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,10,1,0.153333,0.000000,0.433333,0.000000,0.350000,0.000000,0.277778,0.000000,0.416667,0.000000,0.700000,0.000000,0.638889,0.000000,0.062261,0.000000,114.243660,110.112232,89.004837,135.351055,0.000000,0.000000,0.000000,0.002143,4,1,1,9,3
branin,Thresholded Branin,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,10,1,0.153333,0.000000,0.433333,0.000000,0.350000,0.000000,0.277778,0.000000,0.416667,0.000000,0.700000,0.000000,0.638889,0.000000,0.062261,0.000000,114.243660,110.112232,89.004837,135.351055,0.000000,0.000000,0.000000,0.003884,5,2,2,10,4
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,10,1,0.273333,0.000000,0.466667,0.000000,0.375000,0.000000,0.288889,0.000000,0.210000,0.000000,0.258333,0.000000,0.216667,0.000000,0.024303,0.000000,55.285400,20.965236,16.052138,60.198498,0.000000,0.000000,0.250000,0.013658,12,4,4,3,1
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,10,1,0.170000,0.000000,0.450000,0.000000,0.375000,0.000000,0.311111,0.000000,0.473333,0.000000,0.700000,0.000000,0.661111,0.000000,0.074749,0.000000,76.231731,49.723737,30.451756,95.503712,0.000000,0.000000,0.000000,0.008432,6,5,7,6,5
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,10,1,0.180000,0.000000,0.466667,0.000000,0.391667,0.000000,0.316667,0.000000,0.293333,0.000000,0.333333,0.000000,0.305556,0.000000,0.039866,0.000000,25.866538,25.479657,14.565635,36.780560,0.000000,0.250000,0.250000,0.000075,7,8,10,5,2
branin,Thresholded Branin,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,10,1,0.138333,0.000000,0.433333,0.000000,0.375000,0.000000,0.288889,0.000000,0.566667,0.000000,0.725000,0.000000,0.716667,0.000000,0.084337,0.000000,113.744184,110.112232,88.505360,135.351055,0.000000,0.000000,0.000000,0.001892,2,6,5,11,6
branin,Thresholded Branin,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,10,1,0.131667,0.000000,0.433333,0.000000,0.366667,0.000000,0.283333,0.000000,0.870000,0.000000,0.900000,0.000000,0.911111,0.000000,0.165003,0.000000,99.233515,81.090894,44.973354,135.351055,0.000000,0.000000,0.000000,0.001909,1,3,3,8,8
branin,Thresholded Branin,gpr_fixed_or_existing,straddle,straddle,10,1,0.138333,0.000000,0.433333,0.000000,0.375000,0.000000,0.288889,0.000000,0.566667,0.000000,0.725000,0.000000,0.716667,0.000000,0.084337,0.000000,113.744184,110.112232,88.505360,135.351055,0.000000,0.000000,0.000000,0.001938,3,7,6,12,7
