arm,c,group,rows,mean_r_N,mean_r_T,mean_r_ST,mean_total_distance,mean_B1_distance
M3_MARGIN,0.0,q30_like,5321,0.18628642660307052,0.5740575360095987,0.23965603738733085,0.7458207620040936,0.7200204608780751
M3_MARGIN,0.0,outside_q30,1079,0.17438965540642237,0.5388789018843991,0.2867314427091785,0.880076598823097,1.3276311294454584
M3_MARGIN,0.0,q30_like_minus_outside_q30,6400,0.011896771196648143,0.035178634125199615,-0.047075405321847646,-0.13425583681900333,-0.6076106685673832
REP_C025,0.25,q30_like,5268,0.18308056900594855,0.5730736715589175,0.24384575943513398,0.776031022031755,0.7276369787940122
REP_C025,0.25,outside_q30,1132,0.17518103864510748,0.5484311890759745,0.276387772278918,0.9182140504726093,1.3269750924173196
REP_C025,0.25,q30_like_minus_outside_q30,6400,0.007899530360841067,0.024642482482942984,-0.032542012843783996,-0.1421830284408543,-0.5993381136233074
REP_C050,0.5,q30_like,5154,0.18397049663688986,0.5671071936727835,0.24892230969032664,0.8199081739371422,0.7424169673412307
REP_C050,0.5,outside_q30,1246,0.2048458740780189,0.5047084348196393,0.2904456911023418,0.9765130643471872,1.3111680575423972
REP_C050,0.5,q30_like_minus_outside_q30,6400,-0.02087537744112905,0.062398758853144165,-0.04152338141201517,-0.156604890410045,-0.5687510902011664
REP_C100,1.0,q30_like,5071,0.1969101001520508,0.5556508688612299,0.24743903098671932,0.8490879761853315,0.7538683636805776
REP_C100,1.0,outside_q30,1329,0.21750931399590806,0.49520197282137796,0.287288713182714,1.0178322795843389,1.31894231310118
REP_C100,1.0,q30_like_minus_outside_q30,6400,-0.020599213843857267,0.060448896039851985,-0.03984968219599466,-0.16874430339900737,-0.5650739494206023
REP_C200,2.0,q30_like,5040,0.1987876394778054,0.5552728440617299,0.24593951646046472,0.8577193459725518,0.7559330002448541
REP_C200,2.0,outside_q30,1360,0.21967030190417255,0.5022099915676309,0.2781197065281966,1.0376466306981553,1.324511341234781
REP_C200,2.0,q30_like_minus_outside_q30,6400,-0.02088266242636716,0.05306285249409903,-0.0321801900677319,-0.1799272847256035,-0.568578340989927
REP_C400,4.0,q30_like,5034,0.19877666825917234,0.5563046781218215,0.24491865361900617,0.8595151051926923,0.7566254447096503
REP_C400,4.0,outside_q30,1366,0.2208627424379534,0.5011784915184153,0.2779587660436313,1.0414378185798114,1.3258470390955897
REP_C400,4.0,q30_like_minus_outside_q30,6400,-0.022086074178781057,0.05512618660340618,-0.03304011242462512,-0.18192271338711918,-0.5692215943859393
