arm,c,region,rows,mean_r_N,mean_r_T,mean_r_ST,mean_total_distance,mean_normal_energy,mean_tangent_energy,mean_st_energy,mean_B1_distance,q20_fraction,keyhole_fraction
M3_MARGIN,0.0,EARLY_B17_24,800,0.20615079617436785,0.5436957202532912,0.25015348357234096,1.0550921869230485,0.26580869434050247,0.6722557163207651,0.337558516785779,0.7639488890545875,0.71625,0.47875
M3_MARGIN,0.0,LATE_B41_80,4000,0.19018720407902195,0.5609428211140434,0.2488699748069347,0.6992901886855549,0.10920199358432993,0.31390020249194084,0.12584514837120073,0.8759547277279655,0.63375,0.39125
M3_MARGIN,0.0,MID_B25_40,1600,0.15857941305180362,0.5983016397384593,0.24311894720973715,0.7980502627957784,0.10467223967664112,0.4503466959304565,0.20200311261791737,0.7179780242802225,0.808125,0.464375
REP_C025,0.25,EARLY_B17_24,800,0.19661248961496874,0.5351954602412694,0.26819205014376185,1.1768402978245296,0.30468922434115214,0.7930157124017234,0.4119469363205097,0.8137789204283323,0.69375,0.49625
REP_C025,0.25,LATE_B41_80,4000,0.1884453270821463,0.5676705254372333,0.24388414748062037,0.6960923343037674,0.1072837375854014,0.30979281383562063,0.12671458177692552,0.8616537008334707,0.63025,0.38175
REP_C025,0.25,MID_B25_40,1600,0.15731379578064897,0.5880860861652699,0.2546001180540811,0.8760675960772413,0.12673746847567105,0.5076679734312584,0.21400714672910415,0.773555918266696,0.775625,0.4525
REP_C050,0.5,EARLY_B17_24,800,0.1877877690005048,0.5382261614354964,0.2739860695639988,1.2892201296817731,0.3464963512286739,0.9383552927743246,0.4874014409124125,0.8340502007230813,0.685,0.47625
REP_C050,0.5,LATE_B41_80,4000,0.20133885032257398,0.5422887514734211,0.25637239820400487,0.7289535522940087,0.12845739672480624,0.3115845885748226,0.14146082208834312,0.8744066010441746,0.6135,0.37275
REP_C050,0.5,MID_B25_40,1600,0.15489767642315136,0.5950007818329467,0.2501015417439019,0.9345948085794832,0.14366358654402767,0.5600138224205494,0.2378465759394933,0.8095411778871044,0.7275,0.440625
REP_C100,1.0,EARLY_B17_24,800,0.20373557482026264,0.5042555060654071,0.29200891911433025,1.340127736975653,0.4113973344603747,0.9501991113182692,0.5509875545164388,0.8612492224541516,0.64375,0.4775
REP_C100,1.0,LATE_B41_80,4000,0.21401441208122957,0.5298572613811897,0.25612832653758066,0.7536898269413697,0.14443375824574983,0.31924330351973074,0.15087798092063925,0.8858437090224518,0.60125,0.36025
REP_C100,1.0,MID_B25_40,1600,0.1678468049940518,0.5956222046861397,0.2365309903198085,0.982226705910876,0.17468130441029361,0.6043224674586211,0.25036223773251376,0.8396041201765934,0.69375,0.458125
REP_C200,2.0,EARLY_B17_24,800,0.20376987286442247,0.5092913468477572,0.2869387802878204,1.3526183657273494,0.416782115198384,0.9754634253885933,0.5544942475776101,0.864126573538922,0.64375,0.4775
REP_C200,2.0,LATE_B41_80,4000,0.21539481352192477,0.5309717999724826,0.2536333865055927,0.7629459905295672,0.1494149526448778,0.326481363612343,0.153350498718696,0.8896009767079662,0.598,0.35775
REP_C200,2.0,MID_B25_40,1600,0.1725288507366105,0.5939127782718505,0.23355837099153895,1.0001414167193778,0.18478485071093842,0.6252868091477572,0.2570713604995113,0.8509578622814777,0.6775,0.456875
REP_C400,4.0,EARLY_B17_24,800,0.20360467282567643,0.5146334617044998,0.28176186546982385,1.359554587931495,0.4227801149626532,0.9971298575076081,0.5459738733383864,0.8668344094835999,0.64375,0.47375
REP_C400,4.0,LATE_B41_80,4000,0.2155087138490003,0.5308993841506995,0.25359190200030024,0.7642124962276519,0.15028838050879964,0.32646629053303267,0.15476721636983326,0.8906188729703685,0.59475,0.35825
REP_C400,4.0,MID_B25_40,1600,0.17338853783148472,0.5935895394456293,0.23302192272288594,1.0030684027901446,0.1848363802774569,0.6285460400467453,0.2590324486449445,0.8525103278778756,0.67875,0.45625
