arm,c,group,rows,mean_r_N,mean_r_T,mean_r_ST,mean_total_distance,mean_B1_distance
M3_MARGIN,0.0,Keyhole,2691,0.19796479583603943,0.5904038036313086,0.21163140053265198,0.7727110563459181,0.7607029241146381
M3_MARGIN,0.0,Conduction,3709,0.1743524530988638,0.551963830862359,0.27368371603877717,0.7653678814038929,0.8672664578623338
M3_MARGIN,0.0,Keyhole_minus_Conduction,6400,0.023612342737175634,0.038439972768949615,-0.062052315506125194,0.007343174942025188,-0.10656353374769567
REP_C025,0.25,Keyhole,2648,0.19304290466992213,0.5939016866572316,0.2130554086728463,0.8262968395685677,0.7762207144990988
REP_C025,0.25,Conduction,3752,0.17366624778881795,0.5509393767425457,0.2753943754686365,0.7834530111995501,0.8741724298799702
REP_C025,0.25,Keyhole_minus_Conduction,6400,0.01937665688110418,0.04296230991468597,-0.06233896679579018,0.04284382836901757,-0.09795171538087144
REP_C050,0.5,Keyhole,2577,0.21041611253135883,0.5633678808210245,0.22621600664761662,0.8727723938550328,0.7949413361515189
REP_C050,0.5,Conduction,3823,0.17294783593367255,0.5492906505621282,0.2777615135041992,0.8353145560251654,0.8923799702098002
REP_C050,0.5,Keyhole_minus_Conduction,6400,0.037468276597686284,0.01407723025889629,-0.051545506856582574,0.037457837829867446,-0.09743863405828135
REP_C100,1.0,Keyhole,2556,0.22771639977721192,0.5413210321320866,0.23096256809070154,0.9040920817804147,0.8163862554853069
REP_C100,1.0,Conduction,3844,0.1835478351563626,0.5442800259483077,0.27217213889532965,0.8708545436453338,0.9076632511225893
REP_C100,1.0,Keyhole_minus_Conduction,6400,0.04416856462084931,-0.0029589938162211116,-0.041209570804628115,0.0332375381350809,-0.09127699563728242
REP_C200,2.0,Keyhole,2544,0.2266146181919409,0.5393033946154407,0.2340819871926185,0.9131193238659313,0.8196325227913525
REP_C200,2.0,Conduction,3856,0.1877940157877376,0.5470935909495374,0.26511239326272507,0.8846289838008877,0.9144431035612464
REP_C200,2.0,Keyhole_minus_Conduction,6400,0.03882060240420329,-0.007790196334096611,-0.03103040607010657,0.028490340065043585,-0.0948105807698939
REP_C400,4.0,Keyhole,2542,0.22770392772439496,0.539537678648208,0.23275839362739706,0.9154689649397181,0.8204209759322356
REP_C400,4.0,Conduction,3858,0.18753677291640902,0.5478337972928097,0.2646294297907813,0.8870609100164002,0.9161351537722167
REP_C400,4.0,Keyhole_minus_Conduction,6400,0.04016715480798594,-0.008296118644601669,-0.03187103616338424,0.028408054923317883,-0.09571417783998104
